Year	Month	Day	SimDay	Season	GDD	TotGDD	Root Depth	CC	RefCC	Bio	RefBio	HI	HIadj	Yield	
2021	10	17	      45	1	13.00	572.00	0.30	 0.000	 0.263	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	18	      46	1	13.00	585.00	0.30	 0.000	 0.298	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	19	      47	1	13.00	598.00	0.30	 0.000	 0.338	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	20	      48	1	13.00	611.00	0.30	 0.000	 0.384	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	21	      49	1	13.00	624.00	0.30	 0.000	 0.435	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	22	      50	1	13.00	637.00	0.30	 0.000	 0.491	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	23	      51	1	13.00	650.00	0.30	 0.000	 0.542	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	24	      52	1	13.00	663.00	0.30	 0.000	 0.587	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	25	      53	1	13.00	676.00	0.30	 0.000	 0.626	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	26	      54	1	13.00	689.00	0.30	 0.000	 0.661	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	27	      55	1	13.00	702.00	0.30	 0.000	 0.692	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	28	      56	1	13.00	715.00	0.30	 0.000	 0.719	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	29	      57	1	13.00	728.00	0.30	 0.000	 0.743	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	30	      58	1	13.00	741.00	0.30	 0.000	 0.764	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	10	31	      59	1	13.00	754.00	0.30	 0.000	 0.782	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	 1	      60	1	13.00	767.00	0.30	 0.000	 0.798	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	 2	      61	1	13.00	780.00	0.30	 0.000	 0.813	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	 3	      62	1	13.00	793.00	0.30	 0.000	 0.825	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	 4	      63	1	13.00	806.00	0.30	 0.000	 0.837	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	 5	      64	1	13.00	819.00	0.30	 0.000	 0.847	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	 6	      65	1	13.00	832.00	0.30	 0.000	 0.855	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	 7	      66	1	13.00	845.00	0.30	 0.000	 0.863	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	 8	      67	1	13.00	858.00	0.30	 0.000	 0.870	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	 9	      68	1	13.00	871.00	0.30	 0.000	 0.876	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	10	      69	1	13.00	884.00	0.30	 0.000	 0.881	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	11	      70	1	13.00	897.00	0.30	 0.000	 0.886	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	12	      71	1	13.00	910.00	0.30	 0.000	 0.890	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	13	      72	1	13.00	923.00	0.30	 0.000	 0.893	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	14	      73	1	13.00	936.00	0.30	 0.000	 0.896	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	15	      74	1	13.00	949.00	0.30	 0.000	 0.899	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	16	      75	1	13.00	962.00	0.30	 0.000	 0.902	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	17	      76	1	13.00	975.00	0.30	 0.000	 0.904	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	18	      77	1	13.00	988.00	0.30	 0.000	 0.906	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	19	      78	1	13.00	1001.00	0.30	 0.000	 0.907	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	20	      79	1	13.00	1014.00	0.30	 0.000	 0.909	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	21	      80	1	13.00	1027.00	0.30	 0.000	 0.910	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	22	      81	1	13.00	1040.00	0.30	 0.000	 0.911	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	23	      82	1	13.00	1053.00	0.30	 0.000	 0.912	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	24	      83	1	13.00	1066.00	0.30	 0.000	 0.913	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	25	      84	1	13.00	1079.00	0.30	 0.000	 0.914	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	26	      85	1	13.00	1092.00	0.30	 0.000	 0.915	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	27	      86	1	13.00	1105.00	0.30	 0.000	 0.915	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	28	      87	1	13.00	1118.00	0.30	 0.000	 0.916	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	29	      88	1	13.00	1131.00	0.30	 0.000	 0.916	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	11	30	      89	1	13.00	1144.00	0.30	 0.000	 0.917	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	 1	      90	1	13.00	1157.00	0.30	 0.000	 0.917	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	 2	      91	1	13.00	1170.00	0.30	 0.000	 0.918	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	 3	      92	1	13.00	1183.00	0.30	 0.000	 0.918	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	 4	      93	1	13.00	1196.00	0.30	 0.000	 0.918	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	 5	      94	1	13.00	1209.00	0.30	 0.000	 0.918	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	 6	      95	1	13.00	1222.00	0.30	 0.000	 0.919	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	 7	      96	1	13.00	1235.00	0.30	 0.000	 0.919	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	 8	      97	1	13.00	1248.00	0.30	 0.000	 0.919	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	 9	      98	1	13.00	1261.00	0.30	 0.000	 0.919	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	10	      99	1	13.00	1274.00	0.30	 0.000	 0.919	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	11	     100	1	13.00	1287.00	0.30	 0.000	 0.919	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	12	     101	1	13.00	1300.00	0.30	 0.000	 0.919	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	13	     102	1	13.00	1313.00	0.30	 0.000	 0.919	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	14	     103	1	13.00	1326.00	0.30	 0.000	 0.919	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	15	     104	1	13.00	1339.00	0.30	 0.000	 0.920	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	16	     105	1	13.00	1352.00	0.30	 0.000	 0.920	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	17	     106	1	13.00	1365.00	0.30	 0.000	 0.919	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	18	     107	1	13.00	1378.00	0.30	 0.000	 0.918	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	19	     108	1	13.00	1391.00	0.30	 0.000	 0.917	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	20	     109	1	13.00	1404.00	0.30	 0.000	 0.916	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	21	     110	1	13.00	1417.00	0.30	 0.000	 0.915	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	22	     111	1	13.00	1430.00	0.30	 0.000	 0.914	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	23	     112	1	13.00	1443.00	0.30	 0.000	 0.913	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	24	     113	1	13.00	1456.00	0.30	 0.000	 0.912	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	25	     114	1	13.00	1469.00	0.30	 0.000	 0.911	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	26	     115	1	13.00	1482.00	0.30	 0.000	 0.910	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	27	     116	1	13.00	1495.00	0.30	 0.000	 0.908	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	28	     117	1	13.00	1508.00	0.30	 0.000	 0.907	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	29	     118	1	13.00	1521.00	0.30	 0.000	 0.906	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	30	     119	1	13.00	1534.00	0.30	 0.000	 0.905	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	12	31	     120	1	13.00	1547.00	0.30	 0.000	 0.903	  0.00	   NaN	0.0000	0.0000	  0.00	
2022	 1	 1	       0	0	 0.00	  0.00	0.00	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
2022	 1	 2	       0	0	 0.00	  0.00	0.00	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
