May 11 2021; 4:40 pm -05;0.079;0.0;20.72;18.83 
May 11 2021; 4:40 pm -05;0.079;0.0;0.2;18.83  May 31 2021; 11:57 pm -05;2.8702;0.20066;21.72;9.39 
 Jun 1 2021;23:57:36;1.6764;15.00124;20.28;10.11 
 Jun 4 2021;23:57:27;0.127;0.0;18.78;11.22 
 Jun 5 2021;23:57:50;2.3367999999999998;0.0;22.72;11.0 
 Jun 7 2021;23:57:02;3.3274;0.0;22.56;10.17 
 Jun 11 2021;23:57:05;2.3114;27.8003;21.56;8.83 
 Jun 18 2021;23:57:11;2.794;3.4010599999999998;19.94;6.94 
 Jun 19 2021;23:57:35;3.2765999999999997;0.0;20.56;9.44 
 Jun 20 2021;23:57:47;2.2605999999999997;3.5991799999999996;20.06;10.5 
 Jun 21 2021;23:57:26;3.4036;0.39877999999999997;20.28;9.83 
 Jun 22 2021;23:57:35;2.54;0.20066;21.06;8.61 
 Jun 24 2021;23:57:18;2.5654;5.999479999999999;20.44;9.11 
 Jun 27 2021;23:57:08;2.3621999999999996;0.20066;21.06;9.61 
 Jun 28 2021;23:57:01;3.4798;0.0;20.78;7.94 
 Jun 29 2021;23:57:07;4.1655999999999995;0.0;20.56;8.94 
 Jun 30 2021;23:57:02;1.9557999999999998;0.0;18.67;7.67 
 Jul 1 2021;23:57:16;2.2352;0.0;17.67;6.83 
