%% -------- Irrigation schedule time-series for AquaCropOS -------- %%
%% Day Month Year Irrigation(mm) %%
6	3	0.00
7	3	0.00
8	3	0.00
9	3	0.00
10	3	0.00
11	3	0.00
12	3	0.00
13	3	0.00
14	3	0.00
15	3	0.00
16	3	0.00
17	3	0.00
18	3	0.00
19	3	0.00
20	3	0.00
21	3	0.00
22	3	0.00
23	3	0.00
24	3	0.00
25	3	0.00
26	3	0.00
27	3	0.00
28	3	0.00
29	3	0.00
30	3	0.00
31	3	0.00
1	4	0.00
2	4	0.00
3	4	0.00
4	4	0.00
5	4	0.00
6	4	0.00
7	4	0.00
8	4	0.00
9	4	0.00
10	4	0.00
11	4	0.00
12	4	0.00
13	4	0.00
14	4	0.00
15	4	0.00
16	4	0.00
17	4	0.00
18	4	0.00
19	4	0.00
20	4	0.00
21	4	0.00
22	4	0.00
23	4	0.00
24	4	0.00
25	4	8.39
26	4	0.00
27	4	0.00
28	4	8.68
29	4	0.00
30	4	0.00
1	5	0.00
2	5	0.00
3	5	0.00
4	5	0.00
5	5	0.00
6	5	0.00
7	5	0.00
8	5	0.00
9	5	0.00
10	5	0.00
11	5	0.00
12	5	0.00
13	5	0.00
14	5	0.00
15	5	0.00
16	5	0.00
17	5	0.00
18	5	0.00
19	5	13.24
20	5	0.00
21	5	14.54
22	5	0.00
23	5	16.20
24	5	0.00
25	5	14.75
26	5	0.00
27	5	14.27
28	5	0.00
29	5	0.00
30	5	0.00
31	5	0.00
1	6	0.00
2	6	0.00
3	6	0.00
4	6	0.00
5	6	0.00
6	6	0.00
7	6	0.00
8	6	0.00
9	6	0.02
10	6	0.00
11	6	0.00
12	6	0.00
13	6	0.00
14	6	0.00
15	6	0.00
16	6	0.00
17	6	0.00
18	6	0.00
19	6	0.00
20	6	0.20
21	6	0
22	6	0
23	6	0.00
24	6	0.00
25	6	0
26	6	0
27	6	0
28	6	0.00
29	6	0
30	6	0.00
1	7	0.00
2	7	0.00
3	7	0
4	7	0
